date,area,area_type,variant_name,specimens,percentage,specimens_7d_avg,percentage_7d_avg
2021-01-31,California,State,Omicron,1.0,0.41,0.14285714285,0.035855145213
2021-01-31,California,State,Total,245.0,100.0,398.42857142857,100.0
2021-01-31,California,State,Beta,0.0,0.0,0.28571428571,0.071710290427
2021-01-31,California,State,Alpha,2.0,0.82,9.42857142857,2.36643958408
2021-02-01,California,State,Total,789.0,100.0,498.85714285714,100.0
2021-02-01,California,State,Omicron,0.0,0.0,0.14285714285,0.028636884307
2021-02-01,California,State,Other,222.0,28.14,161.0,32.273768613975
2021-02-01,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-01,California,State,Epsilon,558.0,70.72,325.85714285714,65.320733104238
2021-02-01,California,State,Beta,0.0,0.0,0.28571428571,0.057273768614
2021-02-01,California,State,Delta,0.0,0.0,0.71428571428,0.143184421535
2021-02-01,California,State,Alpha,9.0,1.14,10.14285714285,2.033218785796
2021-02-01,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-01,California,State,Gamma,0.0,0.0,0.71428571428,0.143184421535
2021-02-02,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-02,California,State,Gamma,0.0,0.0,0.71428571428,0.118906064209
2021-02-02,California,State,Alpha,34.0,2.64,13.71428571428,2.282996432818
2021-02-02,California,State,Delta,0.0,0.0,0.57142857142,0.095124851367
2021-02-02,California,State,Epsilon,961.0,74.55,413.28571428571,68.799048751486
2021-02-02,California,State,Beta,0.0,0.0,0.28571428571,0.047562425684
2021-02-02,California,State,Other,294.0,22.81,172.0,28.632580261593
2021-02-02,California,State,Total,1289.0,100.0,600.71428571428,100.0
2021-02-02,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-02,California,State,Omicron,0.0,0.0,0.14285714285,0.023781212842
2021-02-03,California,State,Gamma,0.0,0.0,0.71428571428,0.10931351115
2021-02-03,California,State,Beta,1.0,0.09,0.42857142857,0.06558810669
2021-02-03,California,State,Delta,0.0,0.0,0.42857142857,0.06558810669
2021-02-03,California,State,Alpha,29.0,2.7,16.14285714285,2.47048535199
2021-02-03,California,State,Epsilon,796.0,74.12,460.85714285714,70.529077393966
2021-02-03,California,State,Total,1074.0,100.0,653.42857142857,100.0
2021-02-03,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-03,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-03,California,State,Omicron,0.0,0.0,0.14285714285,0.02186270223
2021-02-03,California,State,Other,248.0,23.09,174.71428571428,26.738084827285
2021-02-04,California,State,Gamma,0.0,0.0,0.28571428571,0.047326076668
2021-02-04,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-04,California,State,Total,513.0,100.0,603.71428571428,100.0
2021-02-04,California,State,Beta,0.0,0.0,0.14285714285,0.023663038334
2021-02-04,California,State,Alpha,15.0,2.92,14.57142857142,2.41362991008
2021-02-04,California,State,Delta,0.0,0.0,0.14285714285,0.023663038334
2021-02-04,California,State,Epsilon,394.0,76.8,441.71428571428,73.166114529106
2021-02-04,California,State,Omicron,0.0,0.0,0.14285714285,0.023663038334
2021-02-04,California,State,Other,104.0,20.27,146.71428571428,24.301940369143
2021-02-04,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-05,California,State,Total,281.0,100.0,613.85714285714,100.0
2021-02-05,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-05,California,State,Other,74.0,26.33,150.0,24.43565278101
2021-02-05,California,State,Delta,0.0,0.0,0.0,0.0
2021-02-05,California,State,Epsilon,184.0,65.48,447.14285714285,72.841517337677
2021-02-05,California,State,Beta,0.0,0.0,0.14285714285,0.023272050268
2021-02-05,California,State,Omicron,0.0,0.0,0.14285714285,0.023272050268
2021-02-05,California,State,Gamma,0.0,0.0,0.0,0.0
2021-02-05,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-05,California,State,Alpha,23.0,8.19,16.42857142857,2.676285780777
2021-02-06,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-06,California,State,Beta,0.0,0.0,0.14285714285,0.021857923497
2021-02-06,California,State,Omicron,0.0,0.0,0.14285714285,0.021857923497
2021-02-06,California,State,Other,94.0,24.48,159.57142857142,24.415300546448
2021-02-06,California,State,Total,384.0,100.0,653.57142857142,100.0
2021-02-06,California,State,Alpha,14.0,3.65,18.0,2.754098360656
2021-02-06,California,State,Epsilon,276.0,71.88,475.71428571428,72.786885245902
2021-02-06,California,State,Delta,0.0,0.0,0.0,0.0
2021-02-06,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-06,California,State,Gamma,0.0,0.0,0.0,0.0
2021-02-07,California,State,Epsilon,166.0,77.93,476.42857142857,73.409641206251
2021-02-07,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-07,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-07,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-07,California,State,Gamma,0.0,0.0,0.0,0.0
2021-02-07,California,State,Beta,0.0,0.0,0.14285714285,0.022011886419
2021-02-07,California,State,Other,42.0,19.72,154.0,23.728813559322
2021-02-07,California,State,Alpha,4.0,1.88,18.28571428571,2.817521461589
2021-02-07,California,State,Delta,1.0,0.47,0.14285714285,0.022011886419
2021-02-07,California,State,Total,213.0,100.0,649.0,100.0
2021-02-08,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-08,California,State,Gamma,0.0,0.0,0.0,0.0
2021-02-08,California,State,Epsilon,374.0,74.5,450.14285714285,74.036654135338
2021-02-08,California,State,Other,109.0,21.71,137.85714285714,22.673872180451
2021-02-08,California,State,Delta,0.0,0.0,0.14285714285,0.023496240602
2021-02-08,California,State,Total,502.0,100.0,608.0,100.0
2021-02-08,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-08,California,State,Alpha,19.0,3.78,19.71428571428,3.242481203008
2021-02-08,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-08,California,State,Beta,0.0,0.0,0.14285714285,0.023496240602
2021-02-09,California,State,Epsilon,469.0,72.83,379.85714285714,73.636111880366
2021-02-09,California,State,Other,152.0,23.6,117.57142857142,22.791470506785
2021-02-09,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-09,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-09,California,State,Gamma,0.0,0.0,0.0,0.0
2021-02-09,California,State,Delta,0.0,0.0,0.14285714285,0.02769315979
2021-02-09,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-09,California,State,Beta,0.0,0.0,0.14285714285,0.02769315979
2021-02-09,California,State,Alpha,23.0,3.57,18.14285714285,3.517031293271
2021-02-09,California,State,Total,644.0,100.0,515.85714285714,100.0
2021-02-10,California,State,Beta,0.0,0.0,0.0,0.0
2021-02-10,California,State,Lambda,0.0,0.0,0.0,0.0
